State,MetalLevel,RatingAreaId,Age,IndividualRate
AK,Bronze,Rating Area 1,14,280.5
AK,Bronze,Rating Area 2,14,295
AK,Bronze,Rating Area 3,17,332.5
AK,Bronze,Rating Area 1,18,334.5
AK,Bronze,Rating Area 2,18,352
AK,Bronze,Rating Area 1,21,366.5
AK,Bronze,Rating Area 3,22,376
AK,Bronze,Rating Area 2,25,387
AK,Bronze,Rating Area 1,27,384.5
AK,Bronze,Rating Area 2,27,404
AK,Bronze,Rating Area 1,28,398.5
AK,Bronze,Rating Area 2,28,419
AK,Bronze,Rating Area 3,29,421
AK,Bronze,Rating Area 2,30,437.5
AK,Bronze,Rating Area 1,31,425
AK,Bronze,Rating Area 2,31,446.5
AK,Bronze,Rating Area 1,34,445.5
AK,Bronze,Rating Area 1,37,454
AK,Bronze,Rating Area 2,37,477
AK,Bronze,Rating Area 1,41,477
AK,Bronze,Rating Area 2,41,501.5
AK,Bronze,Rating Area 3,42,498.5
AK,Bronze,Rating Area 2,46,578
AK,Bronze,Rating Area 1,47,573
AK,Bronze,Rating Area 2,47,602.5
AK,Bronze,Rating Area 3,48,614.5
AK,Bronze,Rating Area 1,50,655
AK,Bronze,Rating Area 2,50,688.5
AK,Bronze,Rating Area 3,52,734
AK,Bronze,Rating Area 2,53,786.5
AK,Bronze,Rating Area 1,57,893.5
AK,Bronze,Rating Area 3,59,978.5
AK,Bronze,Rating Area 1,62,1053
AK,Bronze,Rating Area 2,62,1107.5
AK,Bronze,Rating Area 2,63,1138
AK,Gold,Rating Area 3,15,438
AK,Gold,Rating Area 1,18,468
AK,Gold,Rating Area 3,20,510
AK,Gold,Rating Area 3,22,526
AK,Gold,Rating Area 1,25,515
AK,Gold,Rating Area 2,25,541
AK,Gold,Rating Area 1,28,557
AK,Gold,Rating Area 1,30,582
AK,Gold,Rating Area 2,30,612
AK,Gold,Rating Area 1,31,594
AK,Gold,Rating Area 1,33,614
AK,Gold,Rating Area 2,33,646
AK,Gold,Rating Area 3,36,647
AK,Gold,Rating Area 3,38,655
AK,Gold,Rating Area 3,39,664
AK,Gold,Rating Area 1,41,667
AK,Gold,Rating Area 1,43,696
AK,Gold,Rating Area 2,43,731
AK,Gold,Rating Area 3,44,735
AK,Gold,Rating Area 1,46,769
AK,Gold,Rating Area 2,46,808
AK,Gold,Rating Area 1,48,838
AK,Gold,Rating Area 2,48,881
AK,Gold,Rating Area 3,49,897
AK,Gold,Rating Area 3,51,981
AK,Gold,Rating Area 1,52,1001
AK,Gold,Rating Area 2,52,1052
AK,Gold,Rating Area 3,54,1123
AK,Gold,Rating Area 1,55,1143
AK,Gold,Rating Area 2,55,1202
AK,Gold,Rating Area 3,57,1281
AK,Gold,Rating Area 2,58,1373
AK,Gold,Rating Area 1,62,1473
AK,Gold,Rating Area 1,63,1513
AK,Gold,Rating Area 2,63,1591
AK,Gold,Rating Area 2,64,1617
AK,Silver,Rating Area 3,15,462
AK,Silver,Rating Area 1,18,493.5
AK,Silver,Rating Area 3,20,538
AK,Silver,Rating Area 3,22,555
AK,Silver,Rating Area 1,25,543
AK,Silver,Rating Area 2,25,571
AK,Silver,Rating Area 1,28,588
AK,Silver,Rating Area 1,30,613.5
AK,Silver,Rating Area 1,33,647.5
AK,Silver,Rating Area 2,33,681
AK,Silver,Rating Area 3,36,682
AK,Silver,Rating Area 3,38,691
AK,Silver,Rating Area 3,39,700
AK,Silver,Rating Area 1,41,704
AK,Silver,Rating Area 1,43,733.5
AK,Silver,Rating Area 2,43,771.5
AK,Silver,Rating Area 3,44,774.5
AK,Silver,Rating Area 1,46,811
AK,Silver,Rating Area 2,46,853
AK,Bronze,Rating Area 1,15,305.5
AK,Bronze,Rating Area 2,15,321.5
AK,Bronze,Rating Area 1,17,324.5
AK,Bronze,Rating Area 3,19,354
AK,Bronze,Rating Area 1,20,356
AK,Bronze,Rating Area 2,20,374
AK,Bronze,Rating Area 3,21,376
AK,Bronze,Rating Area 1,22,366.5
AK,Bronze,Rating Area 2,22,385.5
AK,Bronze,Rating Area 3,23,376
AK,Bronze,Rating Area 3,24,376
AK,Bronze,Rating Area 1,29,410
AK,Bronze,Rating Area 3,32,444.5
AK,Bronze,Rating Area 3,34,456.5
AK,Bronze,Rating Area 3,35,459.5
AK,Bronze,Rating Area 1,36,451
AK,Bronze,Rating Area 2,36,474
AK,Bronze,Rating Area 3,37,465.5
AK,Bronze,Rating Area 2,38,480
AK,Bronze,Rating Area 1,39,463
AK,Bronze,Rating Area 2,39,486.5
AK,Bronze,Rating Area 3,40,480.5
AK,Bronze,Rating Area 1,42,486
AK,Bronze,Rating Area 1,44,512.5
AK,Bronze,Rating Area 2,44,538.5
AK,Bronze,Rating Area 3,45,543
AK,Bronze,Rating Area 3,47,588
AK,Bronze,Rating Area 1,49,625.5
AK,Bronze,Rating Area 2,49,657.5
AK,Bronze,Rating Area 3,51,701
AK,Bronze,Rating Area 1,52,716
AK,Bronze,Rating Area 2,52,752.5
AK,Bronze,Rating Area 3,54,802.5
AK,Bronze,Rating Area 1,55,817.5
AK,Bronze,Rating Area 2,55,859.5
AK,Bronze,Rating Area 3,57,916.5
AK,Bronze,Rating Area 1,58,934
AK,Bronze,Rating Area 2,58,982
AK,Bronze,Rating Area 3,61,1057
AK,Bronze,Rating Area 1,64,1099.5
AK,Bronze,Rating Area 2,64,1156.5
AK,Gold,Rating Area 2,14,412
AK,Gold,Rating Area 1,16,440
AK,Gold,Rating Area 2,16,463
AK,Gold,Rating Area 3,18,480
AK,Gold,Rating Area 1,19,482
AK,Gold,Rating Area 2,19,507
AK,Gold,Rating Area 2,21,539
AK,Gold,Rating Area 1,23,513
AK,Gold,Rating Area 2,23,539
AK,Gold,Rating Area 2,24,539
AK,Gold,Rating Area 3,25,528
AK,Gold,Rating Area 1,26,525
AK,Gold,Rating Area 2,26,552
AK,Gold,Rating Area 3,27,551
AK,Gold,Rating Area 3,28,572
AK,Gold,Rating Area 3,30,597
AK,Gold,Rating Area 3,31,609
AK,Gold,Rating Area 1,32,606
AK,Gold,Rating Area 2,32,638
AK,Gold,Rating Area 2,35,659
AK,Gold,Rating Area 1,38,639
AK,Gold,Rating Area 1,40,655
AK,Gold,Rating Area 2,40,689
AK,Gold,Rating Area 3,41,685
AK,Gold,Rating Area 2,45,778
AK,Gold,Rating Area 3,46,789
AK,Gold,Rating Area 3,47,822
AK,Gold,Rating Area 1,49,875
AK,Gold,Rating Area 2,50,963
AK,Gold,Rating Area 1,54,1094
AK,Gold,Rating Area 3,56,1227
AK,Gold,Rating Area 1,57,1249
AK,Gold,Rating Area 2,57,1313
AK,Gold,Rating Area 3,59,1369
AK,Gold,Rating Area 1,60,1391
AK,Gold,Rating Area 2,60,1463
AK,Gold,Rating Area 1,61,1440
AK,Gold,Rating Area 2,61,1514
AK,Gold,Rating Area 3,62,1511
AK,Gold,Rating Area 3,63,1552
AK,Silver,Rating Area 2,14,435
AK,Silver,Rating Area 1,16,464.5
AK,Silver,Rating Area 2,16,488.5
AK,Silver,Rating Area 3,18,506.5
AK,Silver,Rating Area 1,19,508.5
AK,Silver,Rating Area 2,19,535
AK,Silver,Rating Area 2,21,568
AK,Silver,Rating Area 1,23,541
AK,Silver,Rating Area 2,23,568
AK,Bronze,Rating Area 1,16,315
AK,Bronze,Rating Area 2,16,331
AK,Bronze,Rating Area 3,18,343
AK,Bronze,Rating Area 1,19,345
AK,Bronze,Rating Area 2,19,363
AK,Bronze,Rating Area 2,21,385.5
AK,Bronze,Rating Area 1,23,366.5
AK,Bronze,Rating Area 2,23,385.5
AK,Bronze,Rating Area 1,24,366.5
AK,Bronze,Rating Area 2,24,385.5
AK,Bronze,Rating Area 3,25,377.5
AK,Bronze,Rating Area 1,26,375.5
AK,Bronze,Rating Area 2,26,394.5
AK,Bronze,Rating Area 3,27,394
AK,Bronze,Rating Area 3,28,409
AK,Bronze,Rating Area 3,30,427
AK,Bronze,Rating Area 3,31,435.5
AK,Bronze,Rating Area 1,32,433.5
AK,Bronze,Rating Area 2,32,456
AK,Bronze,Rating Area 3,33,450.5
AK,Bronze,Rating Area 2,34,468
AK,Bronze,Rating Area 1,35,448
AK,Bronze,Rating Area 2,35,471
AK,Bronze,Rating Area 1,38,457
AK,Bronze,Rating Area 1,40,468.5
AK,Bronze,Rating Area 2,40,492.5
AK,Bronze,Rating Area 3,41,489.5
AK,Bronze,Rating Area 3,43,510.5
AK,Bronze,Rating Area 1,45,529
AK,Bronze,Rating Area 2,45,556.5
AK,Bronze,Rating Area 3,46,564
AK,Bronze,Rating Area 3,50,671.5
AK,Bronze,Rating Area 1,51,683.5
AK,Bronze,Rating Area 2,51,719
AK,Bronze,Rating Area 3,53,767
AK,Bronze,Rating Area 1,54,782.5
AK,Bronze,Rating Area 2,54,823
AK,Bronze,Rating Area 3,56,877
AK,Bronze,Rating Area 2,57,939
AK,Bronze,Rating Area 1,60,995
AK,Bronze,Rating Area 2,60,1046
AK,Bronze,Rating Area 1,61,1030.5
AK,Bronze,Rating Area 2,61,1083
AK,Bronze,Rating Area 3,62,1080.5
AK,Bronze,Rating Area 3,63,1110
AK,Bronze,Rating Area 3,64,1127.5
AK,Gold,Rating Area 1,14,392
AK,Gold,Rating Area 1,15,427
AK,Gold,Rating Area 2,15,449
AK,Gold,Rating Area 3,16,452
AK,Gold,Rating Area 1,17,454
AK,Gold,Rating Area 2,17,477
AK,Gold,Rating Area 3,19,495
AK,Gold,Rating Area 1,20,497
AK,Gold,Rating Area 2,20,523
AK,Gold,Rating Area 3,21,526
AK,Gold,Rating Area 1,22,513
AK,Gold,Rating Area 2,22,539
